127.0.0.1 - - [28/Feb/2018:12:21:34 +0800] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [28/Feb/2018:12:21:40 +0800] "GET /SimpleWebApp/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [28/Feb/2018:12:21:57 +0800] "GET /SimpleWebApp/ HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [28/Feb/2018:12:21:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [28/Feb/2018:12:21:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [28/Feb/2018:12:22:00 +0800] "GET /SimpleWebApp/login HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [28/Feb/2018:12:22:08 +0800] "POST /SimpleWebApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2018:12:22:09 +0800] "GET /SimpleWebApp/userInfo HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [28/Feb/2018:12:24:02 +0800] "GET /EZ%20Request/login.php HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [28/Feb/2018:16:05:35 +0800] "GET /SimpleWebApp/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [28/Feb/2018:16:05:35 +0800] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [28/Feb/2018:16:05:35 +0800] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [28/Feb/2018:16:05:37 +0800] "GET /SimpleWebApp/ HTTP/1.1" 200 836
